ensembl_ID	lane1	lane2	lane3	lane4	lane5	lane6	lane8	len
ENSG00000215696	0	0	0	0	0	0	0	330
ENSG00000215700	0	0	0	0	0	0	0	2370
ENSG00000215699	0	0	0	0	0	0	0	1842
ENSG00000215784	0	0	0	0	0	0	0	2393
ENSG00000212914	0	0	0	0	0	0	0	384
ENSG00000212042	0	0	0	0	0	0	0	92
ENSG00000215620	0	0	0	0	0	0	0	590
ENSG00000215718	0	0	0	0	0	0	0	906
ENSG00000215719	0	0	0	0	0	0	0	297
ENSG00000215716	0	0	0	0	0	0	0	547
ENSG00000215717	0	0	0	0	0	0	0	2658
ENSG00000215715	0	0	0	0	0	0	0	393
ENSG00000220023	0	0	0	0	0	0	0	1300
ENSG00000215734	0	0	0	0	0	0	0	674
ENSG00000215726	0	0	0	0	0	0	0	1920
ENSG00000215725	0	0	0	0	0	0	0	752
ENSG00000215737	0	0	0	0	0	0	0	1187
ENSG00000219860	0	0	0	0	0	0	0	1722
ENSG00000212878	0	0	0	0	0	0	0	666
ENSG00000215744	0	0	0	0	0	0	0	624
ENSG00000220454	0	0	0	0	0	0	0	2553
ENSG00000222769	0	0	0	0	0	0	0	292
ENSG00000220474	0	0	0	0	0	0	0	950
ENSG00000206338	0	0	0	0	0	0	0	1942
ENSG00000220114	0	0	0	0	0	0	0	498
ENSG00000216341	0	0	0	0	0	0	0	598
ENSG00000216451	0	0	0	0	0	0	0	596
ENSG00000206346	0	0	0	0	0	0	0	1554
ENSG00000218084	0	0	0	0	0	0	0	983
ENSG00000206329	0	0	0	0	0	0	0	1850
ENSG00000217744	0	0	0	0	0	0	0	939
ENSG00000206490	0	0	0	0	0	0	0	3250
ENSG00000217626	0	0	0	0	0	0	0	928
ENSG00000216512	0	0	0	0	0	0	0	797
ENSG00000206450	0	0	0	0	0	0	0	701
ENSG00000206428	0	0	0	0	0	0	0	618
ENSG00000218114	0	0	0	0	0	0	0	518
ENSG00000215048	0	0	0	0	0	0	0	1399
ENSG00000220327	0	0	0	0	0	0	0	1075
ENSG00000206455	0	0	0	0	0	0	0	3166
ENSG00000206454	0	0	0	0	0	0	0	1292
ENSG00000206285	0	0	0	0	0	0	0	1694
ENSG00000217023	0	0	0	0	0	0	0	102
ENSG00000220668	0	0	0	0	0	0	0	421
ENSG00000219521	0	0	0	0	0	0	0	776
ENSG00000206383	0	0	0	0	0	0	0	2544
ENSG00000206331	0	0	0	0	0	0	0	1818
ENSG00000172524	0	0	0	0	0	0	0	1863
ENSG00000220046	0	0	0	0	0	0	0	325
ENSG00000206306	0	0	0	0	0	0	0	1657
ENSG00000206301	0	0	0	0	0	0	0	1499
ENSG00000206302	0	0	0	0	0	0	0	1464
ENSG00000215641	0	0	0	0	0	0	0	2827
ENSG00000219307	0	0	0	0	0	0	0	129
ENSG00000218486	0	0	0	0	0	0	0	498
ENSG00000216771	0	0	0	0	0	0	0	1051
ENSG00000219894	0	0	0	0	0	0	0	1370
ENSG00000219704	0	0	0	0	0	0	0	356
ENSG00000216830	0	0	0	0	0	0	0	192
ENSG00000196101	0	0	0	0	0	0	0	1184
ENSG00000206380	0	0	0	0	0	0	0	815
ENSG00000220592	0	0	0	0	0	0	0	427
ENSG00000217540	0	0	0	0	0	0	0	1169
ENSG00000137397	0	0	0	0	0	0	0	2043
ENSG00000206376	0	0	0	0	0	0	0	4014
ENSG00000137394	0	0	0	0	0	0	0	3277
ENSG00000220697	0	0	0	0	0	0	0	632
ENSG00000218005	0	0	0	0	0	0	0	651
ENSG00000218432	0	0	0	0	0	0	0	580
ENSG00000206312	0	0	0	0	0	0	0	6745
ENSG00000219556	0	0	0	0	0	0	0	225
ENSG00000206409	0	0	0	0	0	0	0	761
ENSG00000219883	0	0	0	0	0	0	0	975
ENSG00000206314	0	0	0	0	0	0	0	1456
ENSG00000221974	0	0	0	0	0	0	0	1704
ENSG00000218719	0	0	0	0	0	0	0	791
ENSG00000206403	0	0	0	0	0	0	0	2068
ENSG00000220912	0	0	0	0	0	0	0	284
ENSG00000206427	0	0	0	0	0	0	0	6877
ENSG00000206406	0	0	0	0	0	0	0	1005
ENSG00000217603	0	0	0	0	0	0	0	185
ENSG00000219888	0	0	0	0	0	0	0	382
ENSG00000215077	0	0	0	0	0	0	0	4807
ENSG00000206398	0	0	0	0	0	0	0	992
ENSG00000219156	0	0	0	0	0	0	0	3173
ENSG00000206465	0	0	0	0	0	0	0	451
ENSG00000204198	0	0	0	0	0	0	0	696
ENSG00000183214	0	0	0	0	0	0	0	1675
ENSG00000219013	0	0	0	0	0	0	0	187
ENSG00000206396	0	0	0	0	0	0	0	2290
ENSG00000206394	0	0	0	0	0	0	0	1226
ENSG00000206395	0	0	0	0	0	0	0	1688
ENSG00000206401	0	0	0	0	0	0	0	450
